"file","degree","in","out"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/editor-reference-overview.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/getting-started.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/index.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/modding-support.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/optimization-assumerange.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/optimization-constant.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/optimization-hint.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/optimization-loop-vectorization.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/optimization-overview.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/optimization-skiplocalsinit.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/TableOfContents.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/CHANGELOG.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/LICENSE.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/README.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/allocation.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/allocator-aliasing.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/allocator-benchmarks.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/allocator-custom-define.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/allocator-custom-use.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/allocator-overview.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/allocator-rewindable.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/collection-types.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/collections-overview.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/index.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/issues.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/parallel-readers.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/performance-comparison-allocators.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/performance-comparison-containers.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/performance-comparisons.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Documentation~/TableOfContents.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Unity.Collections.PerformanceTests/README.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.collections@aea9d3bd5e19/Unity.Collections.PerformanceTests/Unity.PerformanceTesting.Benchmark/README.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.editorcoroutines@54394ed3283c/CHANGELOG.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.editorcoroutines@54394ed3283c/LICENSE.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.editorcoroutines@54394ed3283c/README.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.editorcoroutines@54394ed3283c/Documentation~/index.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.editorcoroutines@54394ed3283c/Documentation~/TableOfContents.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ext.nunit@031a54704bff/CHANGELOG.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ext.nunit@031a54704bff/LICENSE.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ext.nunit@031a54704bff/README.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ext.nunit@031a54704bff/Third Party Notices.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ext.nunit@031a54704bff/Documentation~/ext.nunit.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.feature.development@767aadbc6eb7/CHANGELOG.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.rider@1f60b3138684/CHANGELOG.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.rider@1f60b3138684/CONTRIBUTING.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.rider@1f60b3138684/LICENSE.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.rider@1f60b3138684/Documentation~/index.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.rider@1f60b3138684/Documentation~/README.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.rider@1f60b3138684/Documentation~/TableOfContents.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.rider@1f60b3138684/Documentation~/using-the-jetbrains-rider-editor-package.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.visualstudio@74aa435fc4bb/CHANGELOG.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.visualstudio@74aa435fc4bb/CONTRIBUTING.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.visualstudio@74aa435fc4bb/LICENSE.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.visualstudio@74aa435fc4bb/ThirdPartyNotices.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.visualstudio@74aa435fc4bb/Documentation~/index.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.visualstudio@74aa435fc4bb/Documentation~/README.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.visualstudio@74aa435fc4bb/Documentation~/TableOfContents.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.visualstudio@74aa435fc4bb/Documentation~/using-visual-studio-editor.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.vscode@82e68656b7bd/CHANGELOG.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.vscode@82e68656b7bd/CONTRIBUTING.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.vscode@82e68656b7bd/LICENSE.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.ide.vscode@82e68656b7bd/Documentation~/README.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.mathematics@8017b507cc74/CHANGELOG.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.mathematics@8017b507cc74/LICENSE.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.mathematics@8017b507cc74/Documentation~/4x4-matrices.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.mathematics@8017b507cc74/Documentation~/compatibility.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.mathematics@8017b507cc74/Documentation~/getting-started.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.mathematics@8017b507cc74/Documentation~/index.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.mathematics@8017b507cc74/Documentation~/quaternion-multiplication.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.mathematics@8017b507cc74/Documentation~/random-numbers.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.mathematics@8017b507cc74/Documentation~/TableOfContents.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.mathematics@8017b507cc74/Documentation~/vector-multiplication.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.nuget.mono-cecil@d78732e851eb/CHANGELOG.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.nuget.mono-cecil@d78732e851eb/LICENSE.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.nuget.mono-cecil@d78732e851eb/README.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.nuget.mono-cecil@d78732e851eb/Third Party Notices.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.nuget.mono-cecil@d78732e851eb/Documentation~/index.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/CHANGELOG.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/LICENSE.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/README.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/analyzing-mulitple-datasets.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/collecting-and-viewing-data.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/compare-view.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/comparing-frames-same-dataset.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/filtering-system.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/frame-range-selection.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/frame-summary.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/index.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/marker-summary.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/ordering-frames-by-cost.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/profile-analyzer-window.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/single-view.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/statistics.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/TableOfContents.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/thread-summary.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/upgrade-guide.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.performance.profile-analyzer@0516b3a47353/Documentation~/whats-new.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/CHANGELOG.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/LICENSE.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/add-custom-graphics-setting.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/add-custom-graphics-settings.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/adding-properties.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/advanced-properties.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/api_index.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/built-in-shader-methods.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/Camera-Switcher.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/choose-whether-unity-includes-a-graphics-setting-in-your-build.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/custom-material-inspector.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/customize-ui-for-a-setting.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/Free-Camera.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/generating-shader-includes.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/get-custom-graphics-settings.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/index.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/Look-Dev-Environment-Library.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/Look-Dev.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/render-graph-benefits.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/render-graph-fundamentals.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/render-graph-system.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/render-graph-writing-a-render-pipeline.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/Rendering-Debugger.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/rthandle-system-fundamentals.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/rthandle-system-using.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/rthandle-system.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.render-pipelines.core@3b8a69964696/Documentation~/settings.md","0","0","0"
