"file","out","in","degree"
"Informe_final/validacion/PROTOCOLO_THINK_ALOUD.md","0","1","1"
"portafolio_personal/documentacion/00_Indice_y_Organizacion.md","0","1","1"
"portafolio_personal/documentacion/01_Checklist_Ejecutivo_Portafolio.md","0","1","1"
"portafolio_personal/documentacion/02_Fuentes_y_Piezas_Candidatas.md","0","1","1"
"portafolio_personal/documentacion/03_Checklist_Maestro_Reestructuracion.md","0","1","1"
"portafolio_personal/documentacion/04_Breakdown_Pipeline_CAD_a_WebGL.md","0","1","1"
"portafolio_personal/documentacion/04_Justificacion_Piezas_Tecnicas.md","0","1","1"
"portafolio_personal/documentacion/05_Breakdown_Sistema_Visualizacion_Interactiva.md","0","1","1"
"portafolio_personal/documentacion/06_Plan_Activos_Visuales_Portafolio.md","0","1","1"
"portafolio_personal/documentacion/07_Breakdown_Sistema_Termico_Hibrido.md","0","1","1"
"portafolio_personal/documentacion/08_Portafolio_Tech_Artist.md","0","1","1"
"portafolio_personal/documentacion/09_Matriz_Evidencia_y_Claims_Portafolio.md","0","1","1"
"portafolio_personal/documentacion/10_Articulo_ArtStation_Holybro_X500_V2.md","0","1","1"
"portafolio_personal/documentacion/11_README_Proyecto_Portafolio.md","0","1","1"
"portafolio_personal/documentacion/12_Guion_Carrusel_LinkedIn.md","0","1","1"
"portafolio_personal/documentacion/planeacion_carrera/alexander_woodcock_context.md","0","1","1"
"portafolio_personal/documentacion/planeacion_carrera/job_search_strategy.md","0","1","1"
"portafolio_personal/documentacion/planeacion_carrera/master_schedule.md","0","1","1"
"portafolio_personal/documentacion/planeacion_carrera/plan_audit.md","0","1","1"
"portafolio_personal/documentacion/planeacion_carrera/portfolio_strategy.md","0","1","1"
"portafolio_personal/documentacion/planeacion_carrera/task.md","0","1","1"
"portafolio_personal/documentacion/planeacion_carrera/ticktick_schedule.md","0","1","1"
"Cerebro_Digital/SYSTEM_SCHEMA.md","2","0","2"
"Cerebro_Digital/Wiki/Concepts/Estabilidad_y_Migracion_Unity6.md","2","0","2"
"Cerebro_Digital/Wiki/Concepts/Estrategia_Shaders_WebGL.md","2","0","2"
"Cerebro_Digital/Wiki/Concepts/Optimizacion_CAD_WebGL.md","2","0","2"
"Cerebro_Digital/Wiki/Concepts/REPORTE_FINAL_ORCHESTRATION_FASE_1_2_COMPLETA.md","2","0","2"
"Cerebro_Digital/Wiki/Concepts/DIAGRAMA_ARQUITECTURA_FINAL_v3_FASE_1_2.md","3","0","3"
